Min X value: -12.95802
Min Y value: 0
Min Z value: -12.9573
Max X value: 2004.363
Max Y value: 0
Max Z value: 1997.785
Key: charpos in X , Y , Z , Time since start capture
1083.237 , 35.91467 , 692.7589 , 4.24
1083.511 , 35.91182 , 692.8812 , 4.26
1083.785 , 35.90382 , 693.0034 , 4.28
1084.059 , 35.88868 , 693.1257 , 4.3
1084.333 , 35.88067 , 693.2479 , 4.32
1084.607 , 35.86467 , 693.3701 , 4.34
1084.881 , 35.846 , 693.4924 , 4.36
1085.155 , 35.838 , 693.6146 , 4.38
1085.429 , 35.822 , 693.7369 , 4.4
1085.703 , 35.80332 , 693.8591 , 4.42
1085.977 , 35.79532 , 693.9814 , 4.44
1086.251 , 35.78735 , 694.1036 , 4.46
1086.525 , 35.78597 , 694.2258 , 4.48
1086.799 , 35.78459 , 694.3481 , 4.5
1087.073 , 35.7832 , 694.4703 , 4.52
1087.347 , 35.78183 , 694.5926 , 4.54
1087.621 , 35.78045 , 694.7148 , 4.56
1087.895 , 35.77907 , 694.8371 , 4.58
1088.169 , 35.77768 , 694.9594 , 4.6
1088.443 , 35.7763 , 695.0815 , 4.62
1088.717 , 35.77492 , 695.2038 , 4.64
1088.991 , 35.7709 , 695.326 , 4.66
1089.265 , 35.76436 , 695.4483 , 4.68
1089.538 , 35.75782 , 695.5706 , 4.7
1089.812 , 35.75128 , 695.6928 , 4.72
1090.091 , 35.76585 , 695.8042 , 4.74
1090.375 , 35.78281 , 695.9009 , 4.76
1090.661 , 35.79543 , 695.9901 , 4.78
1090.96 , 35.79964 , 696.0217 , 4.8
1091.26 , 35.80002 , 696.0101 , 4.82
1091.555 , 35.79655 , 695.9557 , 4.84
1091.842 , 35.79033 , 695.8707 , 4.86
1092.13 , 35.78411 , 695.7858 , 4.88
1092.418 , 35.7779 , 695.7008 , 4.9
1092.705 , 35.77168 , 695.6158 , 4.92
1092.993 , 35.76546 , 695.5309 , 4.94
1093.281 , 35.75924 , 695.4459 , 4.96
1093.569 , 35.75302 , 695.3609 , 4.98
1093.856 , 35.75607 , 695.2759 , 5
1094.144 , 35.76437 , 695.191 , 5.02
1094.432 , 35.7729 , 695.106 , 5.04
1094.719 , 35.78143 , 695.0211 , 5.06
1095.007 , 35.78996 , 694.9361 , 5.08
1095.295 , 35.79848 , 694.8511 , 5.1
1095.583 , 35.807 , 694.7661 , 5.12
1095.87 , 35.81553 , 694.6812 , 5.14
1096.158 , 35.82405 , 694.5962 , 5.16
1096.446 , 35.83258 , 694.5112 , 5.18
1096.729 , 35.83897 , 694.4113 , 5.2
1096.996 , 35.83097 , 694.2753 , 5.22
1097.263 , 35.82056 , 694.1393 , 5.24
1097.489 , 35.81256 , 693.9418 , 5.26
1097.715 , 35.79656 , 693.7441 , 5.28
1097.941 , 35.78043 , 693.5465 , 5.3
1098.117 , 35.77243 , 693.304 , 5.32
1098.294 , 35.75643 , 693.0614 , 5.34
1098.47 , 35.73243 , 692.8188 , 5.36
1098.647 , 35.71102 , 692.5763 , 5.38
1098.82 , 35.70302 , 692.3314 , 5.4
1098.993 , 35.68702 , 692.0865 , 5.42
1099.167 , 35.66302 , 691.8417 , 5.44
1099.34 , 35.63102 , 691.5969 , 5.46
1099.513 , 35.59102 , 691.352 , 5.48
1099.687 , 35.54302 , 691.1072 , 5.5
1099.86 , 35.51686 , 690.8623 , 5.52
1100.033 , 35.50886 , 690.6174 , 5.54
1100.207 , 35.49286 , 690.3726 , 5.56
1100.38 , 35.46886 , 690.1277 , 5.58
1100.553 , 35.43686 , 689.8829 , 5.6
1100.727 , 35.39686 , 689.6381 , 5.62
1100.9 , 35.34886 , 689.3932 , 5.64
1101.073 , 35.29286 , 689.1484 , 5.66
1101.247 , 35.25567 , 688.9035 , 5.68
1101.423 , 35.24767 , 688.661 , 5.7
1101.6 , 35.23167 , 688.4184 , 5.72
1101.776 , 35.20767 , 688.1758 , 5.74
1101.953 , 35.17567 , 687.9333 , 5.76
1102.13 , 35.13567 , 687.6907 , 5.78
1102.306 , 35.08767 , 687.4481 , 5.8
1102.483 , 35.03889 , 687.2056 , 5.82
1102.681 , 35.0309 , 686.9802 , 5.84
1102.879 , 35.01489 , 686.7548 , 5.86
1103.077 , 34.99089 , 686.5294 , 5.88
1103.275 , 34.95889 , 686.304 , 5.9
1103.473 , 34.92631 , 686.0786 , 5.92
1103.696 , 34.91831 , 685.8781 , 5.94
1103.919 , 34.90231 , 685.6776 , 5.96
1104.142 , 34.87831 , 685.477 , 5.98
1104.365 , 34.84631 , 685.2764 , 6
1104.588 , 34.81945 , 685.0759 , 6.02
1104.811 , 34.81145 , 684.8753 , 6.04
1105.034 , 34.79545 , 684.6747 , 6.06
1105.257 , 34.77145 , 684.4742 , 6.08
1105.481 , 34.73945 , 684.2736 , 6.1
1105.704 , 34.74645 , 684.0731 , 6.12
1105.927 , 34.74725 , 683.8725 , 6.14
1106.15 , 34.73925 , 683.6719 , 6.16
1106.373 , 34.7271 , 683.4714 , 6.18
1106.596 , 34.74033 , 683.2709 , 6.2
1106.819 , 34.75354 , 683.0703 , 6.22
1107.042 , 34.76674 , 682.8698 , 6.24
1107.265 , 34.77995 , 682.6692 , 6.26
1107.489 , 34.79316 , 682.4686 , 6.28
1107.712 , 34.80637 , 682.2681 , 6.3
1107.935 , 34.8168 , 682.0675 , 6.32
1108.158 , 34.81809 , 681.8669 , 6.34
1108.384 , 34.82019 , 681.6693 , 6.36
1108.635 , 34.83111 , 681.5062 , 6.38
1108.906 , 34.84986 , 681.3772 , 6.4
1109.188 , 34.87393 , 681.2736 , 6.42
1109.487 , 34.96968 , 681.2503 , 6.44
1109.786 , 35.07685 , 681.2623 , 6.46
1110.083 , 35.18809 , 681.3095 , 6.48
1110.375 , 35.3012 , 681.3798 , 6.5
1110.661 , 35.41527 , 681.469 , 6.52
1110.945 , 35.52964 , 681.5657 , 6.54
1111.229 , 35.64395 , 681.6623 , 6.56
1111.513 , 35.74781 , 681.759 , 6.58
1111.797 , 35.84897 , 681.8557 , 6.6
1112.081 , 35.95017 , 681.9523 , 6.62
1112.365 , 36.05132 , 682.049 , 6.64
1112.649 , 36.15252 , 682.1456 , 6.66
1112.933 , 36.25368 , 682.2423 , 6.68
1113.217 , 36.3804 , 682.339 , 6.7
1113.501 , 36.52681 , 682.4356 , 6.72
1113.785 , 36.67328 , 682.5323 , 6.74
1114.079 , 36.81586 , 682.5911 , 6.76
1114.373 , 36.95844 , 682.6498 , 6.78
1114.673 , 37.09071 , 682.6501 , 6.8
1114.96 , 37.19741 , 682.5613 , 6.82
1115.222 , 37.28054 , 682.415 , 6.84
1115.417 , 37.31627 , 682.187 , 6.86
1115.37 , 37.30827 , 681.8907 , 6.88
1115.323 , 37.29227 , 681.5943 , 6.9
1115.277 , 37.26827 , 681.298 , 6.92
1115.23 , 37.23627 , 681.0016 , 6.94
1115.183 , 37.19627 , 680.7053 , 6.96
1115.137 , 37.14827 , 680.4089 , 6.98
1115.09 , 37.09227 , 680.1126 , 7
1115.043 , 37.02827 , 679.8163 , 7.02
1114.997 , 36.95627 , 679.5199 , 7.04
1114.95 , 36.87627 , 679.2236 , 7.06
1114.903 , 36.78827 , 678.9272 , 7.08
1114.856 , 36.69227 , 678.6309 , 7.1
1114.81 , 36.58827 , 678.3345 , 7.12
1114.763 , 36.47627 , 678.0382 , 7.14
1114.716 , 36.35627 , 677.7418 , 7.16
1114.67 , 36.22828 , 677.4455 , 7.18
1114.623 , 36.09227 , 677.1492 , 7.2
1114.576 , 35.94827 , 676.8528 , 7.22
1114.53 , 35.79627 , 676.5565 , 7.24
1114.483 , 35.63627 , 676.2601 , 7.26
1114.436 , 35.48432 , 675.9637 , 7.28
1114.529 , 35.47632 , 675.6785 , 7.3
1114.622 , 35.46032 , 675.3933 , 7.32
1114.715 , 35.43632 , 675.108 , 7.34
1114.808 , 35.43092 , 674.8228 , 7.36
1114.824 , 35.42292 , 674.5233 , 7.38
1114.84 , 35.40691 , 674.2236 , 7.4
1114.856 , 35.38292 , 673.9241 , 7.42
1114.872 , 35.35091 , 673.6245 , 7.44
1114.888 , 35.31092 , 673.325 , 7.46
1114.904 , 35.26292 , 673.0253 , 7.48
1114.92 , 35.20692 , 672.7258 , 7.5
1114.936 , 35.14291 , 672.4262 , 7.52
1114.952 , 35.07092 , 672.1266 , 7.54
1114.968 , 34.99173 , 671.827 , 7.56
1114.795 , 34.98373 , 671.5819 , 7.58
1114.622 , 34.96773 , 671.3368 , 7.6
1114.449 , 34.94373 , 671.0917 , 7.62
1114.276 , 34.91173 , 670.8465 , 7.64
1114.103 , 34.87173 , 670.6014 , 7.66
1113.93 , 34.82373 , 670.3563 , 7.68
1113.757 , 34.76773 , 670.1111 , 7.7
